units/layer	n_hidden_layers	parameter count	MAE
1000	1	8002	0.03281178547022706
500	1	4002	0.029046770977620352
200	1	1602	0.028185486666075253
100	1	802	0.030273906612951876
50	1	402	0.031744994060215304
1000	2	1009002	0.0118631661286546
500	2	254502	0.008644605472279807
200	2	41802	0.007334895749377497
100	2	10902	0.008371483819540275
50	2	2952	0.011256676899300794
1000	3	2010002	0.006621440753037646
500	3	505002	0.007391224203624968
200	3	82002	0.006637573705840919
100	3	21002	0.007159624246823586
50	3	5502	0.007948286739370581
1000	4	3011002	0.005974644425397707
500	4	755502	0.006950126419532097
200	4	122202	0.005915758217050362
100	4	31102	0.0061371917989799536
50	4	8052	0.007504247890412807
1000	5	4012002	0.00687087784356485
500	5	1006002	0.006180480406799559
200	5	162402	0.00585882902329756
100	5	41202	0.006098594106998989
50	5	10602	0.007928842013569201
1000	6	5013002	0.007134838802569499
500	6	1256502	0.013035660357748047
200	6	202602	0.005903017556894634
100	6	51302	0.006354359284699973
50	6	13152	0.006506045014095509
1000	7	6014002	0.005939281756784451
500	7	1507002	0.006167191687554626
200	7	242802	0.005889019307292114
100	7	61402	0.005906641812950877
50	7	15702	0.006337626014763521
1000	8	7015002	0.007656468693230112
500	8	1757502	0.005922984635880438
200	8	283002	0.0061671901042304805
100	8	71502	0.005957528974608345
50	8	18252	0.00659555680369169
1000	9	8016002	0.0067877698069406765
500	9	2008002	0.006116964066975703
200	9	323202	0.00594667605966077
100	9	81602	0.005970688013429359
50	9	20802	0.00743341747623379
1000	10	9017002	0.006863611340156551
500	10	2258502	0.007064517368691957
200	10	363402	0.0060887521022078344
100	10	91702	0.006135531043690645
50	10	23352	0.00925339839862565
